id,name,nameDistrict,nameDepartment,attributes,price_hour,price_part_time,price_daily,latitude,longitude,date_updated
148,Consultorio Odontologico Medina,Los Olivos,Lima,,40,,,-11.993417955812472,-77.07224540412426,2026-01-25
147,Mr. Dent,Lima,Lima,,100,,,-12.0546338,-77.07113199999999,2026-01-25
140,Consultorio Lince ,Lince,Lima,,40,,,-12.0885477,-77.0255313,2026-01-25
139,Centro Odontologico Lambramani SAC - FreshDent ,José Luis Bustamante Y Rivero,Arequipa,,,,,-16.4143957,-71.5193933,2026-01-25
138,Centro Odontológico Arte Dental,Juliaca,Puno,,30,,,-15.5012098,-70.1323441,2026-01-25
131,Staff Odontológico De Jesús María,Jesús María,Lima,,35,,,-12.071567744936656,-77.04674530774355,2026-01-25
128,CONSULTORIO DENTAL AMADOR,Ate,Lima,,25,,,-12.0747719,-76.9862254,2026-01-25
125,Odontosalud,Chupaca,Junín,,,,,-12.061762846128719,-75.28722625225782,2026-01-25
124,Kairós Odontología Especializada,Cayma,Arequipa,,50,,,-16.392328499999998,-71.54790349999999,2026-01-25
109,Consultorio Dental Miraflores,Miraflores,Lima,,55,,,-12.114047119034492,-77.03531574457882,2026-01-25
109,Consultorio Dental Miraflores,Miraflores,Lima,,55,,,-12.114047119034492,-77.03531574457882,2026-01-25
106,Centro Odontologico Lambramani - Fresh Dent,José Luis Bustamante Y Rivero,Arequipa,,45,,,-16.415621299999998,-71.5184446,2026-01-25
106,Centro Odontologico Lambramani - Fresh Dent,José Luis Bustamante Y Rivero,Arequipa,,45,,,-16.415621299999998,-71.5184446,2026-01-25
95,Oral Reveal,Miraflores,Lima,,30,,,-12.113502625842937,-77.04770218580961,2026-01-25
